"","date","confirm","region"
"1",2021-11-01,132,"10000000"
"2",2021-11-02,166,"10000000"
"3",2021-11-03,178,"10000000"
"4",2021-11-04,56,"10000000"
"5",2021-11-05,108,"10000000"
"6",2021-11-06,144,"10000000"
"7",2021-11-07,132,"10000000"
"8",2021-11-08,73,"10000000"
"9",2021-11-09,93,"10000000"
"10",2021-11-10,185,"10000000"
"11",2021-11-11,106,"10000000"
"12",2021-11-12,46,"10000000"
"13",2021-11-13,69,"10000000"
"14",2021-11-14,82,"10000000"
"15",2021-11-15,53,"10000000"
"16",2021-11-16,48,"10000000"
"17",2021-11-17,55,"10000000"
"18",2021-11-18,20,"10000000"
"19",2021-11-19,47,"10000000"
"20",2021-11-20,38,"10000000"
"21",2021-11-21,96,"10000000"
"22",2021-11-22,90,"10000000"
"23",2021-11-23,112,"10000000"
"24",2021-11-24,31,"10000000"
"25",2021-11-25,44,"10000000"
"26",2021-11-26,31,"10000000"
"27",2021-11-27,47,"10000000"
"28",2021-11-28,35,"10000000"
"29",2021-11-29,12,"10000000"
"30",2021-11-30,30,"10000000"
"31",2021-12-01,38,"10000000"
"32",2021-12-02,15,"10000000"
"33",2021-12-03,16,"10000000"
"34",2021-12-04,13,"10000000"
"35",2021-12-05,25,"10000000"
"36",2021-12-06,31,"10000000"
"37",2021-12-07,17,"10000000"
"38",2021-12-08,14,"10000000"
"39",2021-12-09,30,"10000000"
"40",2021-12-10,23,"10000000"
"41",2021-12-11,30,"10000000"
"42",2021-12-12,22,"10000000"
"43",2021-12-13,8,"10000000"
"44",2021-12-14,19,"10000000"
"45",2021-12-15,6,"10000000"
"46",2021-12-16,12,"10000000"
"47",2021-12-17,41,"10000000"
"48",2021-12-18,20,"10000000"
"49",2021-12-19,8,"10000000"
"50",2021-12-20,8,"10000000"
"51",2021-12-21,7,"10000000"
"52",2021-12-22,15,"10000000"
"53",2021-12-23,4,"10000000"
"54",2021-12-24,10,"10000000"
"55",2021-12-25,12,"10000000"
"56",2021-12-26,17,"10000000"
"57",2021-12-27,9,"10000000"
"58",2021-12-28,10,"10000000"
"59",2021-12-29,14,"10000000"
"60",2021-12-30,10,"10000000"
"61",2021-12-31,31,"10000000"
