,X,Bgy_Code,cases_7,cases_14,infection_rate,classification,population,AR_7,AR_14,AR_cumulative,AR_active,linelist_date
1,1,101301001,0,0,0,NA,0,0,0,0,0,2021-11-14
2,2,101301015,0,0,0,NA,0,0,0,0,0,2021-11-14
3,3,101301003,0,0,0,NA,0,0,0,0,0,2021-11-14
4,4,101301005,0,0,0,NA,0,0,0,0,0,2021-11-14
5,5,101301007,0,0,0,NA,0,0,0,0,0,2021-11-14
6,6,101301014,0,0,0,NA,0,0,0,0,0,2021-11-14
7,7,101301016,0,0,0,NA,0,0,0,0,0,2021-11-14
8,8,101301002,0,0,0,NA,0,0,0,0,0,2021-11-14
9,9,101301004,0,0,0,NA,0,0,0,0,0,2021-11-14
10,10,101301006,0,0,0,NA,0,0,0,0,0,2021-11-14
11,11,101301008,0,0,0,NA,0,0,0,0,0,2021-11-14
12,12,101301009,0,0,0,NA,0,0,0,0,0,2021-11-14
13,13,101301010,0,1,7.86163522,NA,1272,0,7.86163522,196.5408805,0,2021-11-14
14,14,101301011,0,2,9.263547939,NA,2159,0,9.263547939,199.1662807,0,2021-11-14
15,15,101301013,0,0,0,NA,0,0,0,0,0,2021-11-14
16,16,101301012,2,3,4.71475719,NA,6363,3.14317146,4.71475719,301.7444602,4.71475719,2021-11-14
17,1,101302013,0,0,0,NA,0,0,0,0,0,2021-11-14
18,2,101302017,0,0,0,NA,0,0,0,0,0,2021-11-14
19,3,101302001,0,0,0,NA,0,0,0,0,0,2021-11-14
20,4,101302005,0,0,0,NA,0,0,0,0,0,2021-11-14
21,5,101302004,0,0,0,NA,0,0,0,0,0,2021-11-14
22,6,101302003,0,0,0,NA,0,0,0,0,0,2021-11-14
23,7,101302015,0,0,0,NA,0,0,0,0,0,2021-11-14
24,8,101302002,0,0,0,NA,0,0,0,0,0,2021-11-14
25,9,101302016,0,0,0,NA,0,0,0,0,0,2021-11-14
26,10,101302006,0,0,0,NA,0,0,0,0,0,2021-11-14
27,11,101302011,0,2,15.81027668,1,1265,0,15.81027668,31.62055336,0,2021-11-14
28,12,101302007,0,0,0,NA,0,0,0,0,0,2021-11-14
29,13,101302008,0,0,0,NA,0,0,0,0,0,2021-11-14
30,14,101302009,0,0,0,NA,0,0,0,0,0,2021-11-14
31,15,101302010,0,0,0,NA,0,0,0,0,0,2021-11-14
32,16,101302014,0,0,0,NA,0,0,0,0,0,2021-11-14
33,17,101302019,0,0,0,NA,0,0,0,0,0,2021-11-14
