Code,Name,GeographicLevel,CityClass,IncomeClassification,UrbanRural,Population
010000000,REGION I (ILOCOS REGION),Reg,,,,5026128
012800000,ILOCOS NORTE,Prov,,1st,,593081
012801000,ADAMS,Mun,,5th,,1792
012801001,Adams (Pob.),Bgy,,,R,1792
012802000,BACARRA,Mun,,3rd,,32215
012802001,Bani,Bgy,,,R,853
012802002,Buyon,Bgy,,,R,1596
012802003,Cabaruan,Bgy,,,R,1413
012802004,Cabulalaan,Bgy,,,R,733
012802005,Cabusligan,Bgy,,,R,1038
012802006,Cadaratan,Bgy,,,R,1192
012802007,Calioet-Libong,Bgy,,,R,823
012802008,Casilian,Bgy,,,R,992
012802009,Corocor,Bgy,,,R,814
012802011,Duripes,Bgy,,,R,1010
012802012,Ganagan,Bgy,,,R,699
012802013,Libtong,Bgy,,,R,1587
012802014,Macupit,Bgy,,,R,625
012802015,Nambaran,Bgy,,,R,982
012802016,Natba,Bgy,,,R,530
012802017,Paninaan,Bgy,,,R,440
012802018,Pasiocan,Bgy,,,R,1162
012802019,Pasngal,Bgy,,,R,760
012802020,Pipias,Bgy,,,R,1049
012802021,Pulangi,Bgy,,,R,1082
012802022,Pungto,Bgy,,,R,571
012802024,San Agustin I (Pob.),Bgy,,,R,546
012802025,San Agustin II (Pob.),Bgy,,,R,274
012802027,San Andres I (Pob.),Bgy,,,R,782
012802028,San Andres II (Pob.),Bgy,,,R,694
012802030,San Gabriel I (Pob.),Bgy,,,R,269
012802031,San Gabriel II (Pob.),Bgy,,,R,390
012802033,San Pedro I (Pob.),Bgy,,,R,385
012802034,San Pedro II (Pob.),Bgy,,,R,597
012802036,San Roque I (Pob.),Bgy,,,R,524
012802037,San Roque II (Pob.),Bgy,,,R,352
012802039,San Simon I (Pob.),Bgy,,,R,626
012802040,San Simon II (Pob.),Bgy,,,R,333
012802041,San Vicente (Pob.),Bgy,,,R,649
012802042,Sangil,Bgy,,,R,1031
012802044,Santa Filomena I (Pob.),Bgy,,,R,264
012802045,Santa Filomena II (Pob.),Bgy,,,R,342
012802046,Santa Rita (Pob.),Bgy,,,R,1104
012802047,Santo Cristo I (Pob.),Bgy,,,R,409
012802048,Santo Cristo II (Pob.),Bgy,,,R,420
012802050,Tambidao,Bgy,,,R,775
012802051,Teppang,Bgy,,,R,643
012802052,Tubburan,Bgy,,,R,855
012803000,BADOC,Mun,,3rd,,31616
012803001,Alay-Nangbabaan (Alay 15-B),Bgy,,,R,1079
012803002,Alogoog,Bgy,,,R,936
012803003,Ar-arusip,Bgy,,,R,799
012803004,Aring,Bgy,,,R,1351
012803005,Balbaldez,Bgy,,,R,320
012803006,Bato,Bgy,,,R,979
012803007,Camanga,Bgy,,,R,1126
012803008,Canaan (Pob.),Bgy,,,R,573
012803009,Caraitan,Bgy,,,R,1370
012803011,Gabut Norte,Bgy,,,R,1536
012803012,Gabut Sur,Bgy,,,R,1011
012803013,Garreta (Pob.),Bgy,,,R,1376
012803016,Labut,Bgy,,,R,765
012803017,Lacuben,Bgy,,,R,1422
012803018,Lubigan,Bgy,,,R,1260
012803020,Mabusag Norte,Bgy,,,R,1130
012803021,Mabusag Sur,Bgy,,,R,1133
012803022,Madupayas,Bgy,,,R,861
012803023,Morong,Bgy,,,R,854
012803025,Nagrebcan,Bgy,,,R,525
012803026,Napu,Bgy,,,R,1488
012803027,La Virgen Milagrosa (Paguetpet),Bgy,,,R,1080
012803028,Pagsanahan Norte,Bgy,,,R,1180
012803029,Pagsanahan Sur,Bgy,,,R,1337
012803030,Paltit,Bgy,,,R,1617
012803031,Parang,Bgy,,,R,427
012803032,Pasuc,Bgy,,,R,428
012803034,Santa Cruz Norte,Bgy,,,R,958
012803035,Santa Cruz Sur,Bgy,,,R,689
012803036,Saud,Bgy,,,R,1244
012803037,Turod,Bgy,,,R,762
012804000,BANGUI,Mun,,4th,,14672
012804001,Abaca,Bgy,,,U,1729
012804002,Bacsil,Bgy,,,R,725
012804003,Banban,Bgy,,,R,740
012804004,Baruyen,Bgy,,,R,1541
012804005,Dadaor,Bgy,,,R,426
012804006,Lanao,Bgy,,,R,1958
012804007,Malasin,Bgy,,,R,1000
012804008,Manayon,Bgy,,,R,1092
012804009,Masikil,Bgy,,,R,629
012804010,Nagbalagan,Bgy,,,R,701
012804011,Payac,Bgy,,,R,758
012804012,San Lorenzo (Pob.),Bgy,,,R,2176
012804014,Taguiporo,Bgy,,,R,547
012804015,Utol,Bgy,,,R,650
012805000,CITY OF BATAC,City,CC,5th,,55201
012805001,Aglipay (Pob.),Bgy,,,R,1412
012805002,Baay,Bgy,,,R,3075
012805003,Baligat,Bgy,,,R,1907
012805004,Bungon,Bgy,,,R,1520
012805005,Baoa East,Bgy,,,R,756
012805006,Baoa West,Bgy,,,R,1218
012805007,Barani (Pob.),Bgy,,,R,659
012805009,Ben-agan (Pob.),Bgy,,,R,659
012805010,Bil-loca,Bgy,,,R,2866
012805011,Biningan,Bgy,,,R,445
012805012,Callaguip (Pob.),Bgy,,,U,900
012805013,Camandingan,Bgy,,,R,1499
012805014,Camguidan,Bgy,,,R,535
012805015,Cangrunaan (Pob.),Bgy,,,R,961
012805016,Capacuan,Bgy,,,R,753
012805017,Caunayan (Pob.),Bgy,,,U,1175
012805018,Valdez Pob. (Caoayan),Bgy,,,U,945
012805019,Colo,Bgy,,,R,1360
012805020,Pimentel (Cubol),Bgy,,,R,1232
012805021,Dariwdiw,Bgy,,,R,1883
