"","X","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative","AR_active","linelist_date"
"1",1,101301001,0,0,0,NA,0,0,0,0,0,2022-04-17
"2",2,101301015,0,0,0,NA,0,0,0,0,0,2022-04-17
"3",3,101301003,0,0,0,2,0,0,0,0,0,2022-04-17
"4",4,101301005,0,0,0,NA,0,0,0,0,0,2022-04-17
"5",5,101301007,0,0,0,NA,0,0,0,0,0,2022-04-17
"6",6,101301014,0,1,3.13577924114142,1,3189,0,3.13577924114142,163.060520539354,0,2022-04-17
"7",7,101301016,0,0,0,NA,0,0,0,0,0,2022-04-17
"8",8,101301002,0,0,0,NA,0,0,0,0,0,2022-04-17
"9",9,101301004,0,0,0,NA,0,0,0,0,0,2022-04-17
"10",10,101301006,0,0,0,NA,0,0,0,0,0,2022-04-17
"11",11,101301008,0,0,0,NA,0,0,0,0,0,2022-04-17
"12",12,101301009,0,0,0,NA,0,0,0,0,0,2022-04-17
"13",13,101301010,0,0,0,NA,0,0,0,0,0,2022-04-17
"14",14,101301011,0,0,0,NA,0,0,0,0,0,2022-04-17
"15",15,101301013,0,0,0,NA,0,0,0,0,0,2022-04-17
"16",16,101301012,0,0,0,NA,0,0,0,0,0,2022-04-17
"17",1,101304018,0,0,0,NA,0,0,0,0,0,2022-04-17
"18",2,101304024,0,0,0,NA,0,0,0,0,0,2022-04-17
"19",3,101304011,0,0,0,NA,0,0,0,0,0,2022-04-17
"20",4,101304008,0,0,0,NA,0,0,0,0,0,2022-04-17
"21",5,101304013,0,0,0,NA,0,0,0,0,0,2022-04-17
"22",6,101304016,0,0,0,NA,0,0,0,0,0,2022-04-17
"23",7,101304002,0,0,0,NA,0,0,0,0,0,2022-04-17
"24",8,101304019,0,0,0,NA,0,0,0,0,0,2022-04-17
"25",9,101304025,0,0,0,NA,0,0,0,0,0,2022-04-17
"26",10,101304014,0,0,0,NA,0,0,0,0,0,2022-04-17
"27",11,101304021,0,0,0,NA,0,0,0,0,0,2022-04-17
"28",12,101304003,0,0,0,NA,0,0,0,0,0,2022-04-17
"29",13,101304030,0,0,0,NA,0,0,0,0,0,2022-04-17
"30",14,101304004,0,0,0,NA,0,0,0,0,0,2022-04-17
"31",15,101304001,0,0,0,NA,0,0,0,0,0,2022-04-17
"32",16,101304006,0,0,0,2,0,0,0,0,0,2022-04-17
"33",17,101304009,0,0,0,NA,0,0,0,0,0,2022-04-17
"34",18,101304010,0,0,0,NA,0,0,0,0,0,2022-04-17
"35",19,101304012,0,0,0,NA,0,0,0,0,0,2022-04-17
"36",20,101304015,0,0,0,NA,0,0,0,0,0,2022-04-17
"37",21,101304017,0,0,0,NA,0,0,0,0,0,2022-04-17
"38",22,101304020,0,0,0,NA,0,0,0,0,0,2022-04-17
"39",23,101304023,0,0,0,NA,0,0,0,0,0,2022-04-17
"40",24,101304026,0,0,0,NA,0,0,0,0,0,2022-04-17
"41",25,101304027,0,0,0,NA,0,0,0,0,0,2022-04-17
"42",26,101304028,0,0,0,3,0,0,0,0,0,2022-04-17
"43",27,101304029,0,0,0,NA,0,0,0,0,0,2022-04-17
"44",28,101304005,0,0,0,NA,0,0,0,0,0,2022-04-17
"45",29,101304022,0,0,0,NA,0,0,0,0,0,2022-04-17
"46",1,101305010,0,0,0,NA,0,0,0,0,0,2022-04-17
"47",2,101305015,0,0,0,NA,0,0,0,0,0,2022-04-17
"48",3,101305005,0,0,0,NA,0,0,0,0,0,2022-04-17
"49",4,101305007,0,0,0,NA,0,0,0,0,0,2022-04-17
