code,name,geographicLevel,cityClass
035401000,CITY OF ANGELES,City,HUC
037107000,CITY OF OLONGAPO,City,HUC
045624000,CITY OF LUCENA (Capital),City,HUC
175316000,CITY OF PUERTO PRINCESA (Capital),City,HUC
063022000,CITY OF ILOILO (Capital),City,HUC
064501000,CITY OF BACOLOD (Capital),City,HUC
072217000,CITY OF CEBU (Capital),City,HUC
072226000,CITY OF LAPU-LAPU (OPON),City,HUC
072230000,CITY OF MANDAUE,City,HUC
083747000,CITY OF TACLOBAN (Capital),City,HUC
097332000,CITY OF ZAMBOANGA,City,HUC
103504000,CITY OF ILIGAN,City,HUC
104305000,CITY OF CAGAYAN DE ORO (Capital),City,HUC
112402000,CITY OF DAVAO,City,HUC
126303000,CITY OF GENERAL SANTOS (DADIANGAS),City,HUC
133900000,CITY OF MANILA,City,HUC
137401000,CITY OF MANDALUYONG,City,HUC
137402000,CITY OF MARIKINA,City,HUC
137403000,CITY OF PASIG,City,HUC
137404000,QUEZON CITY,City,HUC
137405000,CITY OF SAN JUAN,City,HUC
137501000,CITY OF CALOOCAN,City,HUC
137502000,CITY OF MALABON,City,HUC
137503000,CITY OF NAVOTAS,City,HUC
137504000,CITY OF VALENZUELA,City,HUC
137601000,CITY OF LAS PIÑAS,City,HUC
137602000,CITY OF MAKATI,City,HUC
137603000,CITY OF MUNTINLUPA,City,HUC
137604000,CITY OF PARAÑAQUE,City,HUC
137605000,PASAY CITY,City,HUC
137607000,CITY OF TAGUIG,City,HUC
141102000,CITY OF BAGUIO,City,HUC
160202000,CITY OF BUTUAN (Capital),City,HUC
015518000,CITY OF DAGUPAN,City,ICC
023135000,CITY OF SANTIAGO,City,ICC
051724000,CITY OF NAGA,City,ICC
083738000,ORMOC CITY,City,ICC
129804000,CITY OF COTABATO,City,ICC
