pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,omega,theta,r,deltaA,epsT,deltaS,E0,IA0,IS0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,C0,mu,popMultiplier,area
9451,5;35;66;96;127;158;188;219;249;280;311;339;370,2020-03-27,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.775852649350003;0.835504058376456;0.876557592922481;0.183369182491146;0.661827166634902;0.212714107748795;0.176617652252934;0.306530358497007;0.397271075563987;0.550715009113536;0.95;0;0,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.952213006,2.176253835,muncity,City of batac,1,4.05E-05,0.75,12805000
13790,14;45;75;106;137;167;198;228;259;290;318;349,2020-04-17,2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.89568100548357;0.745353539014583;0.695906374948175;0.729689165487523;2.80464010158587e-06;2.5348349186788e-06;0;0.40542401182121;0.682447153266752;0.761359915649359;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,7.377790377,2021-02-01,Active,0,0.979008895,17.37373195,muncity,City of laoag ,1,4.05E-05,0.75,12812000
19560,3;34;64;95;125;156;187;215;246,2020-07-29,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.874122160198449;0.543708394554117;0.49124091126595;0.398778384007631;0.594136278332351;0.0115380526903833;0.689140472563155;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.981222823,1.636147456,muncity,San nicolas,2,4.05E-05,0.75,12820000
18712,13;43;74;104;135;166;194;225,2020-08-19,2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.95;0.355954398820749;0.152825572402206;0.542755265759029;0.779038679779874;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,23.67821481,1,25.01224465,2021-02-01,Active,0,0.919556759,3.291340605,muncity,Sarrat,1,4.05E-05,0.75,12821000
29194,17;48;78;109;139;170;201;229;260,2020-07-15,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.290309855916979;0.662547621736753;0.239408042937749;0;0.394304790979808;0.95;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,52,0.99031851,2.594963601,muncity,Cabugao,1,4.05E-05,0.75,12905000
30573,10;40;71;101;132;163;193;224;254;285;316;344;375,2020-03-22,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.949999135714697;0.949998933603782;0.670860717450495;0.061331226509538;0.354089998879544;0.592163139225438;0.506930787355549;0;0.316030181554543;0.95;0.154796830537334;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.905745405,2.229042565,muncity,Tagudin,1,4.05E-05,0.75,12933000
41943,31;61;92;122;153;184;214;245;275;306;337;365;396,2020-03-01,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.625115597075175;0.000548200856823404;0.403949963169612;0.467640570465366;0.91505213112936;0.110723320122542;0.613725311306791;0;0.571284488725602;0.95;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.924270354,2.831204795,muncity,City of vigan ,1,4.05E-05,0.75,12934000
50292,5;35;66;96;127;158;188;219;249;280;311;339;370,2020-03-27,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.95;0.415269630696006;0.280396791177884;0.276699211964162;0.146275868139707;0.829890544410382;0.210334908548421;0.599354459886946;0.335650208797491;0.639258983483772;0.328740860736689;0.328740860736689,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.968584185,3.191891492,muncity,Agoo,1,4.05E-05,0.75,13301000
33226,7;38;68;99;130;160;191;221;252;283;311;342,2020-04-24,2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.920835672897512;0.870346425352021;0.00717950128097456;0.392434149252752;0.737037338049361;0.260332495016154;0.573172663239529;0.290682702661176;0.71073710663963;0.498172504249354;0.349515539473496;0.349515539473496,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,52,0.868486722,2.199009577,muncity,Bacnotan,1,4.05E-05,0.75,13303000
10624,17;47;78;108;139;170;198;229,2020-08-15,2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.695480546853541;0.70199396766719;0.633855796519942;0.0582930813204429;0.0633688038456495;0.486798901437013;0.537432444066868;0.537432444066868,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.979647584,1.920857929,muncity,Bagulin,1,4.05E-05,0.75,13304000
