"X","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","omega","theta","r","deltaA","epsT","deltaS","E0","IA0","IS0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","C0","mu","popMultiplier","area"
1,24526,"18;49;80;110;141;171;202;233;261;292;322;353;383","2020-06-13","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.898337492204629;0.755323522766738;0.88640028479372;0;0.928365956200719;0.940792330314766;0.948958289647312;0.948466103373701;0;-5.55111512312578e-17;0.0759188166189493;0.729321237742202;0.0850740492540479",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",4.59224131000545,1,1,"2021-06-01","Active",52,0.637598638192863,34.6983227984831,"muncity","Bacarra",1,4.05479e-05,0.75,12802000
3,9451,"20;51;81;112;143;173;204;234;265;296;324;355;385;416;446","2020-04-11","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.948886360177846;0.95;0.826317566600773;0.686777572210467;0.584415334943471;0.584445841751154;0.911042612761529;0.249068338632907;0.108568304048045;0.722544304969888;0.495904058492073;0.142954811462005;0.795390979964381;0.541983717417527;0",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",10.987546788365,62.0071628413304,2.11969655720698,"2021-06-01","Active",0,0.7816103415906,8.41656062277062,"muncity","City of batac",1,4.05479e-05,0.75,12805000
11,2286,"14;45;75;106;136;167;198;226;257;287;318;348","2020-07-18","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.944299650331346;0.776730360407138;0.738658643838631;0.0265732562865349;0.507853695820814;0.853153042842711;0.62941108580385;0.257904126368336;0;0.430576167767197;0.95;0",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Active",0,0.565867788947708,17.3562535277097,"muncity","Dingras",1,4.05479e-05,0.75,12809000
31,13790,"20;51;81;112;143;173;204;234;265;296;324;355;385;416;446","2020-04-11","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.872318350312976;0.752989638633862;0.686795117446784;0.729060373957807;0.760795279302878;0.815427528660623;0.0373657783655984;0.436046215661547;0.450904297204317;0.690314693087287;0.806991463663939;0.0403579210848338;0.392486124555077;0.510374759475224;0.498544712591096",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",13.9724644224639,1,1,"2021-06-01","Active",0,0.856101292700054,20.5297490397566,"muncity","City of laoag ",1,4.05479e-05,0.75,12812000
2,19290,"10;41;71;102;132;163;194;222;253;283;314;344","2020-07-22","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.94233692500791;0.805994856069255;0.685193389343431;0.917186293246729;0.0930232723332588;0.38260618622675;0.340103726197694;0;0.642814580692911;0.95;0.0801600592038302;0.95",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Active",52,0.739890179806417,8.26206201485099,"muncity","Pagudpud",2,4.05479e-05,0.75,12815000
21,19560,"8;38;69;100;130;161;191;222;253;281;312;342;373;403","2020-05-24","2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.696469563581981;0.670005892929707;0.931340550572454;0.875289574795457;0.87379676637575;0.874362605637511;0.270523951409981;0.0664208905940925;0;0.290558642388401;0;0.701239285490476;0.95;0",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Active",0,0.777385326232706,23.3398039318456,"muncity","San nicolas",1,4.05479e-05,0.75,12820000
32,18712,"9;39;70;100;131;162;190;221;251;282;312","2020-08-23","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.947498543539845;0.95;0.95;0;0.575816708188913;0.499438907268123;0.539654714486948;0.106542389656668;0.848334930675326;0.344976816354368;0.337992877858988",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",65.0355996409027,1,1,"2021-06-01","Active",0,0.739596205794177,2.92847296856638,"muncity","Sarrat",1,4.05479e-05,0.75,12821000
12,24994,"12;43;74;104;135;165;196;227;255;286;316;347;377","2020-06-19","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.939820198487547;0.75468061633686;0.756343749122049;0.614709402260866;0.773547972539773;0.154332630713993;0.608512297634877;0.388243790853542;0;0.625823740667886;0.95;0.0307314605858995;0.95",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Active",0,0.61673494289414,16.3791941599966,"muncity","Solsona",1,4.05479e-05,0.75,12822000
22,5212,"17;48;78;109;139;170;201;229;260;290;321;351","2020-07-15","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.877175683401332;0.933613113792898;0.901698180875146;0.565443111175723;0.603584250504368;0.576867209166675;0.347596878834625;0;0.529095670563881;0.584402340746079;0;0.95",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",15.2731848629993,142.499845385469,419.194412725393,"2021-06-01","Active",52,0.686577993568616,3.59863400602934,"muncity","Vintar",1,4.05479e-05,0.75,12823000
13,27814,"5;36;67;97;128;158;189;220;248;279;309;340;370","2020-06-26","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.944443366152366;0.598623605846197;0.95;0.927534471859718;0.945962528716033;0.949770892234377;0.949938794379883;0.44135122173928;0;0;0;0;0",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Active",0,-0.0342895397113952,21.9224840289115,"muncity","Bantay",1,4.05479e-05,0.75,12903000
