"X","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","omega","theta","r","deltaA","epsT","deltaS","E0","IA0","IS0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","C0","mu","popMultiplier","area"
1,24526,"18;49;80;110;141;171;202;233;261;292;322;353;383;414;445;475;506;536;567;598;626;657","2020-06-13","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.898337492204629;0.755323522766738;0.88640028479372;0;0.928365956200719;0.940792330314766;0.948958289647312;0.948466103373701;0;0.178178664201055;0;0;0;0.751199745105562;0.78434525290212;0.319999149292514;0.683032043187922;0;0;0.362563127775739;0.95;0.764481906533215",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",4.59224131000545,1,1,"2021-10-01","Active",1,0.83919987630251,18.9475894316012,"muncity","Bacarra",1,4.05479e-05,0.75,12802000
2,11381,"28;58;89;119;150;181;209;240;270;301;331;362;393;423;454;484;515;546;574;605","2020-08-04","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.95;0.921144337026266;0.346715161413535;0.533360933447614;0.78761966586579;0.647773487384857;0.544283455693336;0;0.933663073894396;0.0842856739197263;0.297762912885788;0.841690836119867;0.502494239945482;0.802250204031956;0.43339087622102;0.00396795366878977;0;0.195319541964803;0.95;0.0522185794285524",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",351.568902365616,139.693509690187,184.639014409182,"2021-10-01","Active",1,0.842437300078864,8.15768567098445,"muncity","Badoc",1,4.05479e-05,0.75,12803000
3,15077,"2;33;63;94;124;155;186;214;245;275;306;336;367;398;428;459;489;520;551;579;610","2020-07-30","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.669844653161606;0.95;0.95;0.545832346721794;0.702901356634079;0.136765704773261;0.747737243308075;0.342057332576115;0.62640254746537;0.566487972560821;0.029251329203339;0.37542388077153;0.95;0.601443758939207;0.629429266313705;0.382000265330933;0;0;0.453438358535682;0.95;0.496363685569871",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",81.5759656322556,469.732581627844,113.775522900026,"2021-10-01","Active",1,0.659873950818579,23.529875846194,"muncity","Bangui",1,4.05479e-05,0.75,12804000
4,9451,"20;51;81;112;143;173;204;234;265;296;324;355;385;416;446;477;508;538;569;599;630;661;689;720","2020-04-11","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.948886360177846;0.95;0.826317566600773;0.686777572210467;0.584415334943471;0.584445841751154;0.911042612761529;0.249068338632907;0.108568304048045;0.722544304969888;0.495904058492073;0.145313181189853;0.823021846318299;0.56369131047546;0.0792420720843946;0.790215121296184;0.846939810071079;0.2055513402718;0.481151024643888;0;0;0.18326542863905;0.95;0.498226094074782",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",10.987546788365,62.0071628413304,2.11969655720698,"2021-10-01","Active",1,0.775362562379851,119.035059347091,"muncity","City of batac",1,4.05479e-05,0.75,12805000
5,1216,"1;31;62;93;123;154;184;215;246;274;305;335;366;396;427;458;488;519;549;580;611;639;670","2020-05-31","2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.39388878639611;0.863090104491323;0.934445768689801;0.750172594988868;0.612766650987061;0.109825431732344;0.0236441090127983;0.43340675849945;0.278393307083189;0.866098357549441;0.703071728069375;0.485417352428396;0.602923169143196;0.791042652210035;0.186183596169576;0.522619792085607;0.262779943982605;0.244023598590866;0.512713752791751;0.857050399528816;0.553391481924336;0.110560007765889;0.16308411564678",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",925.111733581268,708.678878739466,852.256246199112,"2021-10-01","Active",0,-0.373966098599822,9.22751639519158,"muncity","Burgos",1,4.05479e-05,0.75,12806000
6,42818,"5;36;67;95;126;156;187;217;248;279;309;340;370;401;432;460;491","2020-11-26","2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.255368112990482;0.000308475048992077;0.68854901343647;0.292935782647667;0.947635100600069;0.706435667389271;0.198945274664604;0.475996717025656;0.595702906950061;0.809881426651418;0.860255061216123;0.792158535403965;0.773919662387668;0.118866125375637;0.738419771305636;0.388883120962388;0.221928801480679",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",542.45800569413,484.928082530162,940.530941435239,"2021-10-01","Active",0,0.0119760453107065,5.45690184651498,"muncity","Carasi",1,4.05479e-05,0.75,12807000
7,29911,"19;50;80;111;142;170;201;231;262;292;323;354;384;415;445;476;507;535;566","2020-09-12","2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.95;0.923719574603915;0.690022499648779;0.382506913202675;0.272312515785836;0.728319491703134;0.770158895544043;0.514723487401009;0.478235427796071;0;0.488155464509488;0.736518425656059;0.95;0.304276796114339;0.1819143268213;0;0.317058338261213;0.95;0.680783644768335",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",754.107333255183,736.99000026668,810.353972290429,"2021-10-01","Active",1,0.71357076558511,7.22018864757027,"muncity","Currimao",1,4.05479e-05,0.75,12808000
8,2286,"14;45;75;106;136;167;198;226;257;287;318;348;379;410;440;471;501;532;563;591;622","2020-07-18","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.944299650331346;0.776730360407138;0.738658643838631;0.0265732562865349;0.507853695820814;0.853153042842711;0.62941108580385;0.257904126368336;0.010839615247376;0.513799367013653;0.840734856956782;0;0.923604130102366;0.812147950041847;0.172738178634185;0.306743218001125;0;0;0.151369493260957;0.95;0.257600128688224",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",1,1,1,"2021-10-01","Active",52,0.840821564869907,20.1461470488322,"muncity","Dingras",1,4.05479e-05,0.75,12809000
9,86198,"28;58;89;119;150;181;209;240;270;301;331;362;393;423;454;484;515;546;574;605","2020-08-04","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.734519275498356;0.949999991940163;0.949999998638583;0.78119410433411;0.807828950637473;0.493402218158022;0.946024181897592;0.350970947160584;0.0353175215849067;0.13069468186132;0;0.770046497781791;0.812290240092348;0.794859446765553;0.839516044500226;0.88603903769584;0.95;0.935604251610166;0.948523303600988;0.949998870206739",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",627.336834109875,652.333870592076,608.561810117282,"2021-10-01","Active",0,-0.1021967857842,12.7813308355903,"muncity","Dumalneg",2,4.05479e-05,0.75,12810000
10,7584,"24;55;86;114;145;175;206;236;267;298;328;359;389;420;451;479;510","2020-11-07","2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31;2022-02-28;2022-03-31","0.95;0.897175493705317;0.44485942305052;0.482821479787554;0.343541488699026;0.775757365345481;0.643353357784915;0;0.628487406331057;0.611855515827751;0.0726030363438322;0.654057795420067;0.213176510103779;0;0.179578733661637;0.95;0.270799442702725",5,0.325757451,0.18,0.33,0.071428571,0.106760863611142,0.0645942672587808,0.00193923025201781,"0.0645942672587808;0.0756924900014813;0.0825362510962005;0.0915253908523102;0.0683976745939696;0.0891680858584236;0.117389749000394;0.128353580857281;0.141259687736655;0.147095539280959;0.120813417819316;0.158228724574166;0.129822465401905;0.140537640839391;0.144071992976295;0.152588013063695;0.158663923101181;0.141857082679758;0.132309557795436;0.157179050482294",569.919929551119,1,470.365227241288,"2021-10-01","Active",52,0.915253111026716,6.6569058677979,"muncity","Banna (espiritu)",1,4.05479e-05,0.75,12811000
