"X","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","omega","theta","r","deltaA","epsT","deltaS","E0","IA0","IS0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","C0","mu","popMultiplier","area"
1,24526,"18;49;80;110;141;171;202;233;261;292;322;353;383;414","2020-06-13","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.898337492204629;0.755323522766738;0.88640028479372;0;0.928365956200719;0.940792330314766;0.948958289647312;0.948466103373701;0;0;0;0;0;0",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",4.59224131000545,1,1,"2021-06-01","Active",0,-0.099226771490909,34.3600312992874,"muncity","Bacarra",1,4.05479e-05,0.75,12802000
2,11381,"28;58;89;119;150;181;209;240;270;301;331;362","2020-08-04","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.732140062868047;0.927266399757323;0.482163875245621;0.840231583010794;0.475447998586888;0.765637081559379;0.119772610632976;0.0245375867915855;0.860452044693402;0.182857751987323;0.0159591118390895;0.0159591118390895",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",129.934967154993,792.001954566004,6.42614737924945,"2021-06-01","Active",0,0.632946216895874,3.89594738649789,"muncity","Badoc",1,4.05479e-05,0.75,12803000
3,15077,"2;33;63;94;124;155;186;214;245;275;306;336;367","2020-07-30","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.949993780671988;0.949999144423047;0.729579062399508;0.787147910432989;0.688170167871265;0.681693009872509;0.550567028662992;0.25954390191635;0.311082333639316;0.718823288256276;0.121867950928006;0;0",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",208.614570007624,1,1,"2021-06-01","Active",1,0.973558401280527,4.0220409909867,"muncity","Bangui",1,4.05479e-05,0.75,12804000
21,9451,"20;51;81;112;143;173;204;234;265;296;324;355;385;416;446;477","2020-04-11","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.948886360177846;0.95;0.826317566600773;0.686777572210467;0.584415334943471;0.584445841751154;0.911042612761529;0.249068338632907;0.108568304048045;0.722544304969888;0.495904058492073;0.146728727010356;0.796458488434504;0.576947640090164;0;0",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",10.987546788365,62.0071628413304,2.11969655720698,"2021-06-01","Active",0,0.765957694586874,8.14206428962615,"muncity","City of batac",1,4.05479e-05,0.75,12805000
31,2286,"14;45;75;106;136;167;198;226;257;287;318;348;379","2020-07-18","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.944299650331346;0.776730360407138;0.738658643838631;0.0265732562865349;0.507853695820814;0.853153042842711;0.62941108580385;0.257904126368336;0.0062381021774423;0.433978154034;0.95;0;0",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Active",0,0.5308622229037,17.1174957974264,"muncity","Dingras",1,4.05479e-05,0.75,12809000
11,13790,"20;51;81;112;143;173;204;234;265;296;324;355;385;416;446;477","2020-04-11","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.872318350312976;0.752989638633862;0.686795117446784;0.729060373957807;0.760795279302878;0.815427528660623;0.0373657783655984;0.436046215661547;0.450904297204317;0.690314693087287;0.806991463663939;0.0439545753125644;0.405493559657882;0.524262428517014;0.459916667860255;0.459916667860255",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",13.9724644224639,1,1,"2021-06-01","Active",52,0.804595161058363,23.2747358785655,"muncity","City of laoag ",1,4.05479e-05,0.75,12812000
12,19290,"10;41;71;102;132;163;194;222;253;283;314;344;375","2020-07-22","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.94233692500791;0.805994856069255;0.685193389343431;0.917186293246729;0.0930232723332588;0.38260618622675;0.340103726197694;0;0.643200099943143;0.95;0.151148533503544;0.614566737748164;0.614566737748164",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Active",52,0.743276910925013,7.78145319292575,"muncity","Pagudpud",2,4.05479e-05,0.75,12815000
32,19560,"8;38;69;100;130;161;191;222;253;281;312;342;373;403;434","2020-05-24","2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.696469563581981;0.670005892929707;0.931340550572454;0.875289574795457;0.87379676637575;0.874362605637511;0.270523951409981;0.0664208905940925;0;0.290558642388401;0;0.730817625880124;0.742970251584424;0;0",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Active",0,0.7643880398568,24.26851550228,"muncity","San nicolas",1,4.05479e-05,0.75,12820000
33,18712,"9;39;70;100;131;162;190;221;251;282;312;343","2020-08-23","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.947498543539845;0.95;0.95;0;0.575816708188913;0.499438907268123;0.539654714486948;0.106523160676369;0.870851841528854;0.267841016927472;0.531145263218371;0.531145263218371",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",65.0355996409027,1,1,"2021-06-01","Active",0,0.65190420148856,3.41082540341138,"muncity","Sarrat",1,4.05479e-05,0.75,12821000
13,24994,"12;43;74;104;135;165;196;227;255;286;316;347;377;408","2020-06-19","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.939820198487547;0.75468061633686;0.756343749122049;0.614709402260866;0.773547972539773;0.154332630713993;0.608512297634877;0.388243790853542;0;0.625567549375898;0.95;0.098451656716768;0.95;0.95",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Active",0,0.626867263755491,15.7903651176879,"muncity","Solsona",1,4.05479e-05,0.75,12822000
