,pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,c1,c2,omega,thetaA,thetaS,r,deltaA,deltaA1,deltaA2,epsT,epsI,epsIH,E1,E2,E3,E4,E5,k1,k2,mu,deltaS,tv1,tv2,J,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,3953090,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.204002275374619;0.0977712234729411;0.0977712234729411,5,0.325757451,0.18,0.241795605,0.429284007,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001485725,1,1,1,1,1,0.85069174,0.469596714,4.05E-05,0.16;0.16,3186;8172;8172,2862;3907;5954,5270;2047;0,4977879,1407,120,1800,168628,48,5,47,81076,15,2,11,2339,2339,37689,2021-08-01,Active,0,0.963849111,381.2654483,region,1-Ilocos,0.75,10000000
1,2743312,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.0589905954793821;0;0,5,0.325757451,0.18,0.241125041,0.430408244,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001488103,1,1,1,1,1,0.85130058,0.47397351,4.05E-05,0.16;0.175,2190;4445;4445,2513;3378;5865,1994;2488;0,3372462,591,34,813,151704,27,3,33,70633,8,1,8,1897,1897,59536,2021-08-01,Active,0,0.984422476,311.2438605,region,2-Cagayan valley,0.75,20000000
2,9235266,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.0565183840647359;0;0,5,0.325757451,0.18,0.240037016,0.428352901,0.33,0.071428571,0.071428571,0.09101277,0.035,0.014,0.014,0.001888834,0.001888834,0.001484652,1,1,1,1,1,0.848110448,0.457546405,4.05E-05,0.14;0.205,7670;25838;25838,11772;11426;15603,10463;4176;0,11340521,1504,150,2500,592998,82,7,92,200001,17,2,15,4013,4013,172425,2021-08-01,Active,0,0.983959592,1105.960389,region,3-Central luzon,0.75,30000000
1,12042981,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.305224978431592;0;0,5,0.434343268,0.18,0.242027312,0.427999056,0.33,0.071428571,0.071428571,0.09101277,0.0375,0.015,0.015,0.001888834,0.001888834,0.001467836,1,1,1,1,1,0.840705526,0.442698402,4.05E-05,0.15;0.28,22475;39880;39880,19151;15608;21774,7468;6166;0,14768147,2446,200,3400,669598,122,10,138,269364,29,4,24,6867,6867,337349,2021-08-01,Active,0,0.99197776,1381.935405,region,4A-Calabarzon,0.75,40000000
1,4600395,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.479793603124888;0.128613293252022;0.128613293252022,5,0.325757451,0.18,0.239384899,0.43057493,0.33,0.071428571,0.071428571,0.09101277,0.0275,0.011,0.011,0.001888834,0.001888834,0.001505441,1,1,1,1,1,0.859248927,0.48099778,4.05E-05,0.11;0.11,2503;5101;5101,1714;2894;5101,2073;5566;0,5941872,650,42,864,88857,10,1,12,74824,5,1,5,1780,1780,24938,2021-08-01,Active,0,0.94071569,158.3108271,region,5-Bicol,0.75,50000000
1,5947862,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.383542449165046;0.265956082554333;0.265956082554333,5,0.325757451,0.18,0.241470436,0.43085915,0.33,0.071428571,0.071428571,0.09101277,0.03,0.012,0.012,0.001888834,0.001888834,0.001473881,1,1,1,1,1,0.843548509,0.475720081,4.05479E-05,0.12;0.12,5842;12504;12504,5895;6098;9725,6649;3628;0,7450971,2883,179,3553,261644,106,10,115,117480,30,5,25,6616,5796,87685,2021-08-01,Active,0,0.851760518,495.0350693,region,6-Western Visayas,0.75,60000000
1,5967791,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.360788423498156;0.500101580607572;0.500101580607572,5,0.434343268,0.18,0.240497727,0.425540926,0.33,0.071428571,0.071428571,0.09101277,0.03,0.012,0.012,0.001888834,0.001888834,0.00147253,1,1,1,1,1,0.84169562,0.434334116,4.05E-05,0.12;0.15,6330;20302;20302,6359;10551;17759,1652;7207;0,7380888,1615,150,2100,308842,66,6,65,134898,18,3,14,3785,3176,125536,2021-08-01,Active,0,0.984068072,409.7611764,region,7-Central visayas,0.75,70000000
1,3556755,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.620878980214347;0;0,5,0.325757451,0.18,0.24361674,0.432050201,0.33,0.071428571,0.071428571,0.09101277,0.035,0.014,0.014,0.001888834,0.001888834,0.001466167,1,1,1,1,1,0.841514511,0.482618238,4.05E-05,0.14;0.135,2431;4099;4099,3025;2610;4099,1286;3531;0,4477816,1857,200,2500,130023,57,6,65,88142,24,4,21,4156,3882,37953,2021-08-01,Active,0,0.905720396,408.4236206,region,8-Eastern Visayas,0.75,80000000
1,2837064,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.469192341273064;0.105384731891311;0.105384731891311,5,0.325757451,0.18,0.240211458,0.429913289,0.33,0.071428571,0.071428571,0.09101277,0.0275,0.011,0.011,0.001888834,0.001888834,0.001507086,1,1,1,1,1,0.861123085,0.466604645,4.05E-05,0.11;0.13,2396;3446;3446,3086;2213;4012,2306;1799;0,3564573,440,28,647,121244,15,2,19,64010,5,1,5,1498,1395,30368,2021-08-01,Active,0,0.94633083,103.7682273,region,9-Zamboanga peninsula,0.75,90000000
2,3762796,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.126341379432147;0.0617179469241874;0.0617179469241874,5,0.325757451,0.18,0.238863011,0.431184698,0.33,0.071428571,0.071428571,0.09101277,0.035,0.014,0.014,0.001888834,0.001888834,0.001513079,1,1,1,1,1,0.863016177,0.471756315,4.05E-05,0.14;0.25,3223;9002;9002,4995;3661;4618,4063;957;0,4713340,683,60,1200,180107,27,2,31,80198,8,1,6,1816,1816,39925,2021-08-01,Active,0,0.963414918,334.2581614,region,10-Northern mindanao,0.75,100000000
